rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
2953,Kepler-1704,b,0,1,1,988.88112,2.027,11.949,1322.16617,291.2012559,51.1442437,835.455,254.0,0.452,4.07,0.325,7.4,5746.0,7.787605114435695
5100,TOI-1478,b,0,1,1,10.180249,0.0903,11.882,270.47333,126.4337428,-13.5595485,152.892,918.0,-0.013,0.88,1.16,9.1,5597.0,7.894004890882248
5361,TOI-4914,b,0,1,1,10.60057,0.098,12.87,227.0,204.5426717,-28.1429206,299.89,894.0,0.009,0.59,1.5508,5.3,5805.0,7.961250331407206
3961,Kepler-428,b,0,1,1,3.52563254,0.0433,12.11,403.63,290.5817432,40.5773106,686.284,1070.0,-0.39,1.02,1.704,5.0,5150.0,8.011079434854885
455,HATS-62,b,0,1,1,3.2768837,0.04163,11.825,56.89157,312.4493079,-24.303506,523.067,1237.0,-0.173,0.076,1.556,9.55,5416.0,8.191952149961736
376,HAT-P-52,b,0,1,1,2.7535953,0.03694,11.31,259.98494,42.7217412,29.0222492,361.155,1218.0,-0.305,0.98,1.75,9.4,5131.0,8.29277171912313
4010,Kepler-46,b,0,1,3,33.60134,0.1968,9.057,1907.0,289.2687388,42.6041819,777.06,543.0,-0.255,14.0,1.53,9.7,5155.0,8.463244494275404
5159,TOI-1836,b,0,1,2,20.380845,0.157,8.281,24.7,245.9079242,54.6900774,191.649,890.0,0.57,0.24,0.3897,3.2,6237.0,8.500456418181441
4147,Kepler-553,c,0,1,2,328.24017,0.898,11.579,2129.45033,298.5508922,48.3325405,728.525,251.0,-0.271,7.53,1.727,8.8,5191.0,8.501728845198224
5249,TOI-2524,b,0,1,1,7.18585,0.073,11.209,203.41018,160.8868435,-1.9126984,438.842,1100.0,0.116,0.79,1.013,6.7,5831.0,9.05925178747024
5454,TOI-905,b,0,1,1,3.739494,0.04666,13.126,211.99261,227.6586754,-71.3616316,158.649,1192.0,-0.137,0.515,1.76,3.4,5570.0,9.124861718540217
388,HAT-P-63,b,0,1,1,3.377728,0.04294,12.543,195.14664,269.5720695,5.7613709,403.458,1237.0,-0.146,0.54,1.448,9.0,5400.0,9.12535701722483
450,HATS-59,b,0,1,2,5.416081,0.06112,12.621,256.17098,170.324325,-22.388177,642.884,1128.0,-0.004,0.7,1.31,4.3,5670.0,9.244494922364412
3959,Kepler-426,b,0,1,1,3.21751883,0.0414,12.22,108.06,289.4346668,49.473455,843.695,1300.0,-0.089,0.26,1.17,6.0,5725.0,9.358189292296515
5001,TIC 393818343,b,0,1,1,16.24921,0.1291,12.184,1379.37529,310.2917002,3.6382967,93.7345,806.0,0.067,4.22,1.198,3.8,5756.0,9.574131868285116
5284,TOI-329,b,0,1,1,5.70439,0.0638,4.941,40.4,351.3210955,-15.6346313,284.388,1213.0,0.325,1.84,0.4127,8.7,5614.0,9.829267060280667
4831,NGTS-6,b,0,1,1,0.882059,0.01677,14.863,425.57437,75.795382,-30.3994612,308.262,1284.0,-0.592,0.711,3.9304,9.77,4730.0,10.064898830283726
