rowid,hostname,pl_letter,cb_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,ra,dec,sy_dist,pl_eqt,st_lum,pl_dens,st_dens,st_age,st_teff,pl_esi
5085,TOI-1439,b,0,1,1,27.644,0.192,4.243,38.5,241.7639371,67.8776404,230.306,748.0,0.441,2.76,0.4045,4.6,5841.0,5.554953805768675
1113,HD 6061,b,0,2,1,5.2549,0.06,2.428,10.0,15.5981441,37.1854394,67.6203,1075.0,0.055,3.82,1.4057,2.4,5934.0,5.613703261831937
5404,TOI-6034,b,0,2,1,2.576184,0.02949,11.92,254.0,317.9001392,68.4020762,117.992,714.0,-1.403,0.82,6.19,7.8,3635.0,5.801770284267344
5147,TOI-1794,b,0,1,1,8.765528,0.082,3.297,8.7,203.3974857,49.0608433,155.791,993.0,0.197,1.31,0.5941,10.8,5631.0,5.829318894682742
5139,TOI-1776,b,0,1,1,2.799868,0.0378,1.216,1.4,164.7772913,40.9837182,44.647,1269.0,-0.053,4.13,1.5677,5.1,5785.0,5.873516923382037
437,HATS-47,b,0,1,1,3.9228038,0.04269,12.52,117.27927,287.4844021,-49.6649424,300.67,853.0,-0.796,0.331,3.36,8.1,4512.0,6.00947962377834
5153,TOI-1807,b,0,1,1,0.54937097,0.0122,1.497,2.44,201.2826259,38.9223671,42.5775,1694.0,-0.533,3.98,2.7172,2.1,4914.0,6.167657352695308
339,HAT-P-19,b,0,1,1,4.00878322,0.04599,11.299,88.03847,9.5165832,34.7114025,202.078,981.0,-0.485,0.335,2.468,7.2,4962.0,6.248664430835824
5225,TOI-2364,b,0,1,1,4.0197517,0.04871,8.608,71.51139,89.1300265,-5.0120298,219.614,1091.0,-0.252,0.61,1.94,3.5,5306.0,6.3366684654415515
5176,TOI-2010,b,0,1,1,141.834025,0.5516,11.814,408.72733,292.1669417,53.4873694,109.19,400.0,0.114,1.36,1.243,1.9,5929.0,6.409422164455798
467,HATS-74 A,b,0,2,1,1.73185606,0.02384,11.568,464.02947,171.0147921,-19.5569588,299.389,895.0,-1.216,1.64,4.43,11.0,3776.9,6.5199717886973145
436,HATS-46,b,0,1,1,4.7423729,0.05367,10.122,54.98459,6.7026401,-56.3161021,453.808,1054.0,-0.23,0.28,2.1,3.0,5495.0,6.54430274455423
1200,HD 86226,c,0,1,2,3.98442,0.049,2.16,7.25,149.1235154,-24.0991859,45.683,1311.0,0.072,3.97,1.233,4.6,5863.0,6.587504848174899
5081,TOI-1420,b,0,1,1,6.9561063,0.071,11.89,25.1,322.9418092,66.3490054,201.918,957.0,-0.152,0.082,1.77,10.7,5510.0,6.6132129584078205
5174,TOI-2000,c,0,1,2,9.127055,0.0878,8.14,81.7,146.3970631,-66.6866307,175.713,1038.0,0.06,0.829,1.047,5.3,5611.0,6.621796471615416
393,HAT-P-68,b,0,1,1,2.29840551,0.02996,12.016,230.10892,118.4831501,23.9382192,202.152,1028.0,-0.779,0.727,3.165,11.1,4508.0,6.67318039646171
5060,TOI-1288,b,0,1,2,2.6998279,0.0374,4.968,44.1,313.1670294,65.6087833,114.865,1203.0,-0.155,1.97,1.517,6.5,5388.0,6.731785567137224
3958,Kepler-425,b,0,1,1,3.79701816,0.0464,10.962,79.45,290.3579781,40.5676965,646.647,1070.0,-0.323,0.27,1.448,5.0,5170.0,6.785813528284373
